task,target,model,rmse,mae,r2
delta_phi_calibration,delta_phi,dummy_mean,0.6482015807263947,0.5666666666666659,-0.19008264462809876
delta_phi_calibration,delta_phi,ridge,0.6888668671326639,0.5523343869614843,-0.34408750454714543
delta_phi_calibration,delta_phi,random_forest,0.7100991975564876,0.6098333333333321,-0.42821961709939393
delta_phi_calibration,delta_phi,gpr,0.7358978224576934,0.6478993452513527,-0.5338821230155124
delta_phi_calibration,delta_phi,xgboost,0.8182178664840933,0.7235624390343817,-0.8962468271609929
phi_dem_surrogate,phi_DEM,xgboost,3.531678476415221,2.3277926921844485,0.9325581197000566
phi_dem_surrogate,phi_DEM,random_forest,3.7221679316106964,2.210833333333309,0.9250866395283478
phi_dem_surrogate,phi_DEM,ridge,4.344377953953584,3.176329943744342,0.8979477568388489
phi_dem_surrogate,phi_DEM,gpr,4.5621477551369,3.1721081690268402,0.88746022400878
phi_dem_surrogate,phi_DEM,dummy_mean,14.835592114520734,11.922727272727274,-0.19008264462809943
phi_exp_soil,phi_exp,gpr,1.0828255896133814,0.8915468770046665,0.9935197971258823
phi_exp_soil,phi_exp,ridge,3.8194912020587246,2.2900441930952864,0.9193726085431245
phi_exp_soil,phi_exp,xgboost,3.83008043580819,2.1572932243347167,0.9189249228326115
phi_exp_soil,phi_exp,random_forest,4.333633641303449,2.6382777777777764,0.8962051109083777
phi_exp_soil,phi_exp,dummy_mean,14.674143786530395,11.731818181818182,-0.19008264462809943
